accession,cds_id,start,end,strand,phrog_id,phrog_category,phrog_annot,method
DQ003638.2,,50365,50685,,9471,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,50689,52377,,279,tail,tail sheath,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,52445,52867,,985,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,53019,53462,,1038,tail,tail assembly chaperone,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,53530,54123,,1316,"DNA, RNA and nucleotide metabolism",RNA polymerase beta subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,54266,57913,,1047,tail,tail associated lysin,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,57959,60346,,1015,tail,tail protein with lysin activity,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,60364,61896,,7994,other,glycerophosphoryl diester phosphodiesterase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,61934,62647,,1011,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,62652,63185,,1073,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,63172,63882,,975,tail,baseplate protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,64019,64942,,6,tail,baseplate wedge subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,64978,68907,,2386,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,69024,69545,,1394,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,69679,73017,,877,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,73063,73284,,1074,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,73287,74579,,9794,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,74611,75021,,9920,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,75018,75155,,134,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,75256,77001,,16,"DNA, RNA and nucleotide metabolism",DNA helicase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,77016,78656,,1098,"DNA, RNA and nucleotide metabolism",HTH DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,78674,80137,,19,"DNA, RNA and nucleotide metabolism",DnaB-like replicative helicase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,80152,81204,,100,"DNA, RNA and nucleotide metabolism",SbcD-like subunit of palindrome specific endonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,81299,83182,,77,"DNA, RNA and nucleotide metabolism",SbcC-like subunit of palindrome specific endonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,83202,83792,,1070,"moron, auxiliary metabolic gene and host takeover",anti-sigma factor,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,83792,84853,,47,"DNA, RNA and nucleotide metabolism",DNA primase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,84948,85547,,135,"DNA, RNA and nucleotide metabolism",dUTPase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,85544,85768,,10262,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,85765,86088,,7516,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,86081,86503,,1095,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,86506,87126,,244,"DNA, RNA and nucleotide metabolism",RusA-like Holliday junction resolvase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,87223,88590,,3987,"DNA, RNA and nucleotide metabolism",ribonucleotide reductase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,88654,88743,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,88801,89832,,3844,"moron, auxiliary metabolic gene and host takeover",NrdA-like aerobic NDP reductase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,89967,89836,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,90038,91069,,86,"DNA, RNA and nucleotide metabolism",ribonucleoside diphosphate reductase small subunit,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,91066,91518,,883,"moron, auxiliary metabolic gene and host takeover",flavodoxin,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,91521,91817,,9820,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,91841,92152,,22,"DNA, RNA and nucleotide metabolism",thioredoxin domain,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,92235,92534,,9691,"DNA, RNA and nucleotide metabolism",thioredoxin domain,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,92537,92674,,9795,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,92677,93864,,12487,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,93873,94775,,619,other,ribose-phosphate pyrophosphokinase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,94786,96570,,448,other,nicotinamide phosphoribosyl transferase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,96657,99125,,9253,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,99219,100007,,1054,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,100000,100314,,379,"DNA, RNA and nucleotide metabolism",DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,100397,101233,,4008,"DNA, RNA and nucleotide metabolism",DNA polymerase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,101277,101366,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,101508,103676,,17,"DNA, RNA and nucleotide metabolism",DNA polymerase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,103771,104247,,1069,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,104285,105544,,1867,"DNA, RNA and nucleotide metabolism",single strand DNA binding protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,105614,106858,,97,other,UvsX-like recombinase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,106920,107297,,1089,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,107297,107935,,1025,transcription regulation,RNA polymerase sigma factor,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,107994,108359,,263,lysis,holin,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,108377,109084,,215,head and packaging,structural protein with Ig domain,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,109192,109578,,9872,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,109575,110504,,1850,other,exopolyphosphatase,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,110563,111834,,284,"DNA, RNA and nucleotide metabolism",exonuclease,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,111854,112237,,7143,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,112245,112790,,1080,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,112836,113042,,15858,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,113093,113800,,984,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,113811,114293,,2356,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,114353,115237,,1113,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,115398,115763,,9749,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,115769,116215,,6360,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,116316,117020,,9512,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,117025,118041,,249,"moron, auxiliary metabolic gene and host takeover",porphyrin biosynthesis,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,118028,118873,,7005,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,118935,119390,,7350,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,119396,119974,,7350,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,120013,120585,,10641,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,120582,121160,,10568,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,121153,121485,,9358,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,121612,121701,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,121771,122499,,1007,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,122514,122981,,1104,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,123096,124166,,9186,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,124214,124783,,9719,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,124786,125319,,9011,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,125334,126092,,9671,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,126105,126395,,10429,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,126641,126739,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,127001,126813,,16836,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,127215,127018,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,127456,127328,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,127419,127778,,3543,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,127863,128012,,10369,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,128121,128384,,10046,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,128386,128487,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,128468,128743,,4655,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,128819,129271,,11937,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,129273,129368,,28207,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,129426,130079,,1384,other,Mom-like DNA modification protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,130096,130323,,13948,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,130397,130594,,14860,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,130613,130819,,14056,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,130823,131098,,19585,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,131225,131527,,19346,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,131599,131841,,22337,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,131924,132067,,11464,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,132270,132611,,4264,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,132786,133007,,5149,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,133013,133456,,7822,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,133589,134131,,17618,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,134156,134434,,10501,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,134508,134386,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,134828,134703,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,134949,134854,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,135116,134994,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,135211,135465,,14554,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,135462,135722,,9566,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,135746,135931,,18466,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,135949,136122,,10584,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,136141,136248,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,136279,136539,,9527,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,136553,136840,,9852,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,136993,137265,,9612,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ003638.2,,137398,137526,,9360,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,52,438,,3395,"moron, auxiliary metabolic gene and host takeover",membrane protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,422,694,,1321,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,700,1116,,1063,head and packaging,terminase small subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,1116,1397,,9315,head and packaging,terminase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,1446,1357,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,1783,1625,,No_PHROGs_HMM,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,1747,3300,,675,head and packaging,terminase large subunit,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,3369,4208,,1917,head and packaging,virion structural protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,4213,4410,,26070,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,4400,5038,,1116,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,5028,5408,,1991,unknown function,hypothetical protein,ab initio prediction:PHANOTATE:1.6.7
DQ004855.1,,5472,6497,,5182,lysis,endolysin,ab initio prediction:PHANOTATE:1.6.7
