accession,name,site_start,site_end,gap_bp,left_gene,left_category,left_phrog_category,right_gene,right_category,right_phrog_category,dist_to_lysis_bp,insertion_score,rationale
DQ003638.2,"Listeria phage A511, complete genome",30378,31098,720,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,8757,60.0,tight gap (720 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",32166,32793,627,hypothetical protein,permissive,unknown function,hemolysin,permissive,other,7016,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",32452,33162,710,hemolysin,permissive,other,hypothetical protein,permissive,unknown function,6688,60.0,tight gap (710 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",32818,33447,629,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,6363,60.0,tight gap (629 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",113042,113093,51,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,4891,60.0,minimal gap (51 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",127328,127863,535,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19419,60.0,tight gap (535 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",35136,36880,1744,hypothetical protein,permissive,unknown function,virion structural protein,essential,head and packaging,3487,58.0,comfortable gap (1744 bp ≥ 1000) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",123,264,141,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,39302,50.0,minimal gap (141 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",551,717,166,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,38861,50.0,minimal gap (166 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",2346,2499,153,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,37073,50.0,minimal gap (153 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",2771,2904,133,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,36658,50.0,minimal gap (133 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",3032,3103,71,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,36428,50.0,minimal gap (71 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",3249,3335,86,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,36203,50.0,minimal gap (86 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",3745,3813,68,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35716,50.0,minimal gap (68 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",4263,4394,131,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35167,50.0,minimal gap (131 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",4224,4442,218,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35162,50.0,minimal gap (218 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",6645,6798,153,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,32774,50.0,minimal gap (153 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",8373,8452,79,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,31083,50.0,minimal gap (79 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",8784,8884,100,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,30661,50.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",9180,9245,65,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,30283,50.0,minimal gap (65 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",10995,11478,483,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,28259,50.0,minimal gap (483 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",23150,23630,480,hypothetical protein,permissive,unknown function,transcriptional regulator,permissive,transcription regulation,16105,50.0,minimal gap (480 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",25375,25588,213,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,14014,50.0,minimal gap (213 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",25731,26142,411,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,13559,50.0,minimal gap (411 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",25924,26341,417,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,13363,50.0,minimal gap (417 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",26502,26721,219,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,12884,50.0,minimal gap (219 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",28625,28935,310,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,10715,50.0,minimal gap (310 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",31187,31591,404,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,8106,50.0,minimal gap (404 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",31502,31718,216,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7885,50.0,minimal gap (216 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",31596,31849,253,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7773,50.0,minimal gap (253 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",31757,31934,177,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7650,50.0,minimal gap (177 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",32026,32402,376,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7281,50.0,minimal gap (376 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",33178,33563,385,hypothetical protein,permissive,unknown function,membrane protein,permissive,"moron, auxiliary metabolic gene and host takeover",6125,50.0,minimal gap (385 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",88743,88801,58,hypothetical protein,permissive,unknown function,NrdA-like aerobic NDP reductase large subunit,permissive,"moron, auxiliary metabolic gene and host takeover",19404,50.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",89832,89967,135,NrdA-like aerobic NDP reductase large subunit,permissive,"moron, auxiliary metabolic gene and host takeover",hypothetical protein,permissive,unknown function,18277,50.0,minimal gap (135 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",96570,96657,87,nicotinamide phosphoribosyl transferase,permissive,other,hypothetical protein,permissive,unknown function,11563,50.0,minimal gap (87 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",99125,99219,94,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9004,50.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",114293,114353,60,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,6147,50.0,minimal gap (60 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",115237,115398,161,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,7141,50.0,minimal gap (161 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",116215,116316,101,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,8089,50.0,minimal gap (101 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",118873,118935,62,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,10728,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",121485,121612,127,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,13372,50.0,minimal gap (127 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",121701,121771,70,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,13560,50.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",126395,126641,246,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18342,50.0,minimal gap (246 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",126739,127001,262,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18694,50.0,minimal gap (262 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",126813,127215,402,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18838,50.0,minimal gap (402 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",127018,127419,401,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19042,50.0,minimal gap (401 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",128012,128121,109,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19890,50.0,minimal gap (109 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",128743,128819,76,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,20605,50.0,minimal gap (76 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",129368,129426,58,hypothetical protein,permissive,unknown function,Mom-like DNA modification protein,permissive,other,21221,50.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",130323,130397,74,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22184,50.0,minimal gap (74 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",131098,131225,127,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22985,50.0,minimal gap (127 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",131527,131599,72,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23387,50.0,minimal gap (72 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",131841,131924,83,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23706,50.0,minimal gap (83 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",132067,132270,203,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23992,50.0,minimal gap (203 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",132611,132786,175,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,24522,50.0,minimal gap (175 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",133456,133589,133,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25346,50.0,minimal gap (133 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",134434,134508,74,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26295,50.0,minimal gap (74 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",134386,134828,442,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26431,50.0,minimal gap (442 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",134703,134949,246,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26650,50.0,minimal gap (246 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",134854,135116,262,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26809,50.0,minimal gap (262 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",134994,135211,217,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26926,50.0,minimal gap (217 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",136840,136993,153,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,28740,50.0,minimal gap (153 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",137265,137398,133,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,29155,50.0,minimal gap (133 bp) · neither flank essential · far from lysis cluster · both flanks permissive
DQ003638.2,"Listeria phage A511, complete genome",18258,19632,1374,hypothetical protein,permissive,unknown function,RNA ligase,essential,"DNA, RNA and nucleotide metabolism",20550,48.0,comfortable gap (1374 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",20876,22403,1527,hypothetical protein,permissive,unknown function,tRNA splicing ligase,essential,"DNA, RNA and nucleotide metabolism",17856,48.0,comfortable gap (1527 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",21192,22721,1529,tRNA splicing ligase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,17539,48.0,comfortable gap (1529 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",23388,25253,1865,transcriptional regulator,permissive,transcription regulation,RNA-binding protein,essential,"DNA, RNA and nucleotide metabolism",15175,48.0,comfortable gap (1865 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",23733,25283,1550,RNA-binding protein,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,14987,48.0,comfortable gap (1550 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",41331,41414,83,hypothetical protein,permissive,unknown function,portal protein,essential,head and packaging,1877,48.0,minimal gap (83 bp) · one flank essential (acceptable) · near lysis cluster (1877 bp) · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",109084,109192,108,structural protein with Ig domain,essential,head and packaging,hypothetical protein,permissive,unknown function,962,48.0,minimal gap (108 bp) · one flank essential (acceptable) · near lysis cluster (962 bp) · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",15615,16447,832,hypothetical protein,permissive,unknown function,tail fiber protein,essential,tail,23464,38.0,tight gap (832 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",16250,16856,606,tail fiber protein,essential,tail,hypothetical protein,permissive,unknown function,22942,38.0,tight gap (606 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",19646,20370,724,tRNA amidotransferase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,19487,38.0,tight gap (724 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",34868,35258,390,hypothetical protein,permissive,unknown function,terminase large subunit,essential,head and packaging,4432,38.0,minimal gap (390 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",103676,103771,95,DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,4453,38.0,minimal gap (95 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",105544,105614,70,single strand DNA binding protein,essential,"DNA, RNA and nucleotide metabolism",UvsX-like recombinase,permissive,other,2597,38.0,minimal gap (70 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",110504,110563,59,exopolyphosphatase,permissive,other,exonuclease,essential,"DNA, RNA and nucleotide metabolism",2357,38.0,minimal gap (59 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",45122,45292,170,hypothetical protein,permissive,unknown function,major head protein,essential,head and packaging,5712,28.0,minimal gap (170 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",46695,46777,82,major head protein,essential,head and packaging,hypothetical protein,permissive,unknown function,7241,28.0,minimal gap (82 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",48896,48956,60,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,9431,28.0,minimal gap (60 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",69545,69679,134,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,30117,28.0,minimal gap (134 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",75155,75256,101,hypothetical protein,permissive,unknown function,DNA helicase,essential,"DNA, RNA and nucleotide metabolism",32971,28.0,minimal gap (101 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",88590,88654,64,ribonucleotide reductase large subunit,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,19554,28.0,minimal gap (64 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",89836,90038,202,hypothetical protein,permissive,unknown function,ribonucleoside diphosphate reductase small subunit,essential,"DNA, RNA and nucleotide metabolism",18239,28.0,minimal gap (202 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",101366,101508,142,hypothetical protein,permissive,unknown function,DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",6739,28.0,minimal gap (142 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",122981,123096,115,virion structural protein,essential,head and packaging,hypothetical protein,permissive,unknown function,14862,28.0,minimal gap (115 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
DQ003638.2,"Listeria phage A511, complete genome",18691,20182,1491,RNA ligase,essential,"DNA, RNA and nucleotide metabolism",tRNA amidotransferase,essential,"DNA, RNA and nucleotide metabolism",20059,25.0,comfortable gap (1491 bp ≥ 1000) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",43343,43466,123,portal protein,essential,head and packaging,head maturation protease,essential,head and packaging,3909,15.0,minimal gap (123 bp) · ⚠ both flanks essential · within 5 kb of lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",52377,52445,68,tail sheath,essential,tail,virion structural protein,essential,head and packaging,12916,5.0,minimal gap (68 bp) · ⚠ both flanks essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",52867,53019,152,virion structural protein,essential,head and packaging,tail assembly chaperone,essential,tail,13448,5.0,minimal gap (152 bp) · ⚠ both flanks essential · far from lysis cluster
