accession,name,site_start,site_end,gap_bp,left_gene,left_category,right_gene,right_category,dist_to_lysis_bp,insertion_score,rationale
DQ003638.2,"Listeria phage A511, complete genome",8784,8883,99,gp23,other,gp24,other,,35.0,minimal gap (99 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",9180,9244,64,gp24,other,gp25,other,,35.0,minimal gap (64 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",12327,12386,59,gp32,other,gp33,other,,35.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",15055,15120,65,gp37,other,gp38,other,,35.0,minimal gap (65 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",18614,18690,76,gp46,other,gp47,other,,35.0,minimal gap (76 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",22403,22508,105,gp52,other,gp53,other,,35.0,minimal gap (105 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",23630,23732,102,gp56,other,gp57,other,,35.0,minimal gap (102 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",25253,25610,357,gp57,other,gp58,other,,35.0,minimal gap (357 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",27844,28038,194,gp61,other,gp62,other,,35.0,minimal gap (194 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",30254,30377,123,gp64,other,gp65,other,,35.0,minimal gap (123 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",33447,33562,115,gp69,other,gp70,other,,35.0,minimal gap (115 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",34908,35257,349,gp73,other,gp74,other,,35.0,minimal gap (349 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",36811,36879,68,gp74,other,gp75,other,,35.0,minimal gap (68 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",38919,38982,63,gp78,other,gp79,other,,35.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",40008,40180,172,gp79,other,gp80,other,,35.0,minimal gap (172 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",40909,41010,101,gp80,other,gp81,other,,35.0,minimal gap (101 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",43343,43441,98,gp83,other,gp84,other,,35.0,minimal gap (98 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",52867,53018,151,gp94,other,gp95,other,,35.0,minimal gap (151 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",53462,53529,67,gp95,other,gp96,other,,35.0,minimal gap (67 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",54123,54184,61,gp96,other,gp97,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",68907,69023,116,gp104,other,gp105,other,,35.0,minimal gap (116 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",75155,75255,100,gp110,other,gp111,other,,35.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",81204,81298,94,gp114,other,gp115,other,,35.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",87126,87189,63,gp122,other,gp123,other,,35.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",88590,88800,210,gp123,other,gp124,other,,35.0,minimal gap (210 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",89832,90037,205,gp124,other,gp125,other,,35.0,minimal gap (205 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",96570,96665,95,gp133,other,gp134,other,,35.0,minimal gap (95 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",99125,99218,93,gp134,other,gp135,other,,35.0,minimal gap (93 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",100314,100396,82,gp136,other,gp137,other,,35.0,minimal gap (82 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",101233,101483,250,gp137,other,gp138,other,,35.0,minimal gap (250 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",103676,103770,94,gp138,other,gp139,other,,35.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",105544,105613,69,gp140,other,gp141,other,,35.0,minimal gap (69 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",106858,106919,61,gp141,other,gp142,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",107935,107993,58,gp143,other,gp144,other,,35.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",109084,109191,107,gp145,other,gp146,other,,35.0,minimal gap (107 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",110504,110562,58,gp147,other,gp148,other,,35.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",112790,112844,54,gp150,other,gp151,other,,35.0,minimal gap (54 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",113042,113092,50,gp151,other,gp152,other,,35.0,minimal gap (50 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",114293,114352,59,gp153,other,gp154,other,,35.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",115237,115325,88,gp154,other,gp155,other,,35.0,minimal gap (88 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",116215,116315,100,gp156,other,gp157,other,,35.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",118873,118934,61,gp159,other,gp160,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",121485,121770,285,gp164,other,gp165,other,,35.0,minimal gap (285 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",122981,123095,114,gp166,other,gp167,other,,35.0,minimal gap (114 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",127778,127862,84,gp172,other,gp173,other,,35.0,minimal gap (84 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",128012,128120,108,gp173,other,gp174,other,,35.0,minimal gap (108 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",128384,128467,83,gp174,other,gp175,other,,35.0,minimal gap (83 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",128743,128818,75,gp175,other,gp176,other,,35.0,minimal gap (75 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",129368,129425,57,gp177,other,gp178,other,,35.0,minimal gap (57 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",130323,130396,73,gp179,other,gp180,other,,35.0,minimal gap (73 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",131098,131224,126,gp182,other,gp183,other,,35.0,minimal gap (126 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",131527,131598,71,gp183,other,gp184,other,,35.0,minimal gap (71 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",131841,131923,82,gp184,other,gp185,other,,35.0,minimal gap (82 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",132067,132269,202,gp185,other,gp186,other,,35.0,minimal gap (202 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",132611,132785,174,gp186,other,gp187,other,,35.0,minimal gap (174 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",133456,133588,132,gp188,other,gp189,other,,35.0,minimal gap (132 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",134434,134757,323,gp190,other,gp1,other,,35.0,minimal gap (323 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",135045,135210,165,gp1,other,gp2,other,,35.0,minimal gap (165 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",136122,136263,141,gp5,other,gp6,other,,35.0,minimal gap (141 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",136840,136992,152,gp7,other,gp8,other,,35.0,minimal gap (152 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",137265,137397,132,gp8,other,gp9,other,,35.0,minimal gap (132 bp) · neither flank essential · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",45122,45291,169,gp85,other,major capsid protein precursor,essential,,20.0,minimal gap (169 bp) · one flank essential (acceptable) · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",46695,46776,81,major capsid protein precursor,essential,gp87,other,,20.0,minimal gap (81 bp) · one flank essential (acceptable) · far from lysis cluster
DQ003638.2,"Listeria phage A511, complete genome",52377,52444,67,tail sheath protein precursor,essential,gp94,other,,20.0,minimal gap (67 bp) · one flank essential (acceptable) · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",92914,93941,1027,gp103,other,gp104,other,,55.0,comfortable gap (1027 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",96340,97352,1012,gp108,other,gp109,other,,55.0,comfortable gap (1012 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",124019,125089,1070,gp166,other,gp167,other,,55.0,comfortable gap (1070 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",125720,127854,2134,gp168,other,gp169,other,,55.0,comfortable gap (2134 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",128679,130038,1359,gp170,other,gp171,other,,55.0,comfortable gap (1359 bp ≥ 1000) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",123090,123800,710,gp165,other,gp166,other,,45.0,tight gap (710 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",1397,1746,349,gp4,other,gp5,other,,35.0,minimal gap (349 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",3300,3368,68,gp5,other,gp6,other,,35.0,minimal gap (68 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",5408,5471,63,gp9,other,PlyP100,other,,35.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",6497,6669,172,PlyP100,other,gp11,other,,35.0,minimal gap (172 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",7398,7499,101,gp11,other,gp12,other,,35.0,minimal gap (101 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",9832,9930,98,gp14,other,gp15,other,,35.0,minimal gap (98 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",11620,11789,169,gp17,other,Cps,other,,35.0,minimal gap (169 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",13196,13277,81,Cps,other,gp18,other,,35.0,minimal gap (81 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",18818,18936,118,Tsh,other,gp25,other,,35.0,minimal gap (118 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",19308,19458,150,gp25,other,gp26,other,,35.0,minimal gap (150 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",19902,19969,67,gp26,other,gp27,other,,35.0,minimal gap (67 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",20557,20618,61,gp27,other,gp28,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",35341,35457,116,gp35,other,gp36,other,,35.0,minimal gap (116 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",39718,39921,203,gp38,other,gp39,other,,35.0,minimal gap (203 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",41589,41689,100,gp41,other,gp42,other,,35.0,minimal gap (100 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",47638,47732,94,gp45,other,gp46,other,,35.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",48113,48183,70,gp46,other,gp47,other,,35.0,minimal gap (70 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",53561,53677,116,gp54,other,gp55,other,,35.0,minimal gap (116 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",55027,55237,210,gp55,other,gp56,other,,35.0,minimal gap (210 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",56269,56444,175,gp56,other,gp57,other,,35.0,minimal gap (175 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",62985,63080,95,gp64,other,gp65,other,,35.0,minimal gap (95 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",65540,65633,93,gp65,other,gp66,other,,35.0,minimal gap (93 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",66729,66811,82,gp67,other,gp68,other,,35.0,minimal gap (82 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",67648,67982,334,gp68,other,gp69,other,,35.0,minimal gap (334 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",70091,70185,94,gp69,other,gp70,other,,35.0,minimal gap (94 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",71959,72028,69,gp71,other,gp72,other,,35.0,minimal gap (69 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",73273,73334,61,gp72,other,gp73,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",74350,74408,58,gp74,other,gp75,other,,35.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",74570,74625,55,gp75,other,gp76,other,,35.0,minimal gap (55 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",75498,75605,107,gp77,other,gp78,other,,35.0,minimal gap (107 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",76918,76976,58,gp79,other,gp80,other,,35.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",79204,79258,54,gp82,other,gp83,other,,35.0,minimal gap (54 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",79456,79506,50,gp83,other,gp84,other,,35.0,minimal gap (50 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",80707,80766,59,gp85,other,gp86,other,,35.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",81651,81739,88,gp86,other,gp87,other,,35.0,minimal gap (88 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",85287,85348,61,gp91,other,gp92,other,,35.0,minimal gap (61 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",87321,87606,285,gp95,other,gp96,other,,35.0,minimal gap (285 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",88817,88931,114,gp97,other,gp98,other,,35.0,minimal gap (114 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",92204,92632,428,gp102,other,gp103,other,,35.0,minimal gap (428 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",94724,94890,166,gp104,other,gp105,other,,35.0,minimal gap (166 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",95100,95212,112,gp105,other,gp106,other,,35.0,minimal gap (112 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",95476,95559,83,gp106,other,gp107,other,,35.0,minimal gap (83 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",95835,95947,112,gp107,other,gp108,other,,35.0,minimal gap (112 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",98265,98406,141,gp112,other,gp113,other,,35.0,minimal gap (141 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",98983,99136,153,gp114,other,gp115,other,,35.0,minimal gap (153 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",99409,99725,316,gp115,other,gp116,other,,35.0,minimal gap (316 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",99854,100156,302,gp116,other,gp117,other,,35.0,minimal gap (302 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",103699,103861,162,gp124,other,gp125,other,,35.0,minimal gap (162 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",105416,105495,79,gp129,other,gp130,other,,35.0,minimal gap (79 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",106224,106288,64,gp131,other,gp132,other,,35.0,minimal gap (64 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",109686,109875,189,gp140,other,gp141,other,,35.0,minimal gap (189 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",110157,110216,59,gp141,other,gp142,other,,35.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",112891,112955,64,gp146,other,gp147,other,,35.0,minimal gap (64 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",114784,114863,79,gp150,other,gp151,other,,35.0,minimal gap (79 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",116449,116526,77,gp154,other,gp155,other,,35.0,minimal gap (77 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",121465,121569,104,gp164,other,gp165,other,,35.0,minimal gap (104 bp) · neither flank essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",128130,128253,123,gp169,other,gp170,other,,35.0,minimal gap (123 bp) · neither flank essential · far from lysis cluster
JX442241.1,"Listeria phage P70, complete genome",54664,55494,830,hypothetical protein,permissive,hypothetical protein,permissive,50106.0,60.0,tight gap (830 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",49094,49912,818,endonuclease,other,hypothetical protein,permissive,44530.0,53.0,tight gap (818 bp) · neither flank essential · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",5447,5515,68,endolysin,lysis,terminase large subunit,essential,508.0,50.0,minimal gap (68 bp) · one flank essential (acceptable) · ⭐ adjacent to lysis gene
JX442241.1,"Listeria phage P70, complete genome",14890,14952,62,hypothetical protein,permissive,hypothetical protein,permissive,9948.0,50.0,minimal gap (62 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",25022,25268,246,hypothetical protein,permissive,hypothetical protein,permissive,20172.0,50.0,minimal gap (246 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",26437,26519,82,hypothetical protein,permissive,hypothetical protein,permissive,21505.0,50.0,minimal gap (82 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",26681,26865,184,hypothetical protein,permissive,hypothetical protein,permissive,21800.0,50.0,minimal gap (184 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",27253,27552,299,hypothetical protein,permissive,HNH endonuclease,permissive,22429.0,50.0,minimal gap (299 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",27924,28125,201,HNH endonuclease,permissive,hypothetical protein,permissive,23051.0,50.0,minimal gap (201 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",38631,38723,92,hypothetical protein,permissive,hypothetical protein,permissive,33704.0,50.0,minimal gap (92 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",43591,43647,56,hypothetical protein,permissive,hypothetical protein,permissive,38646.0,50.0,minimal gap (56 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",44436,44730,294,hypothetical protein,permissive,hypothetical protein,permissive,39610.0,50.0,minimal gap (294 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",46676,46805,129,hypothetical protein,permissive,hypothetical protein,permissive,41767.0,50.0,minimal gap (129 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",48277,48363,86,hypothetical protein,permissive,hypothetical protein,permissive,43347.0,50.0,minimal gap (86 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",50146,50248,102,hypothetical protein,permissive,hypothetical protein,permissive,45224.0,50.0,minimal gap (102 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",50581,50688,107,hypothetical protein,permissive,hypothetical protein,permissive,45661.0,50.0,minimal gap (107 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",51832,51903,71,hypothetical protein,permissive,hypothetical protein,permissive,46894.0,50.0,minimal gap (71 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",52648,52706,58,hypothetical protein,permissive,hypothetical protein,permissive,47704.0,50.0,minimal gap (58 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",53543,53683,140,hypothetical protein,permissive,hypothetical protein,permissive,48640.0,50.0,minimal gap (140 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",54267,54364,97,hypothetical protein,permissive,hypothetical protein,permissive,49342.0,50.0,minimal gap (97 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",55749,55828,79,hypothetical protein,permissive,hypothetical protein,permissive,50815.0,50.0,minimal gap (79 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",57952,58035,83,hypothetical protein,permissive,hypothetical protein,permissive,53020.0,50.0,minimal gap (83 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",59796,59859,63,HNH endonuclease,permissive,hypothetical protein,permissive,54854.0,50.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster · both flanks permissive (hypothetical)
JX442241.1,"Listeria phage P70, complete genome",39656,39959,303,DNA replication inhibitor,other,hypothetical protein,permissive,34834.0,43.0,minimal gap (303 bp) · neither flank essential · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",9333,9402,69,head morphogenesis protein,essential,hypothetical protein,permissive,4394.0,38.0,minimal gap (69 bp) · one flank essential (acceptable) · within 5 kb of lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",10980,11045,65,major head protein,essential,hypothetical protein,permissive,6039.0,28.0,minimal gap (65 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",12135,12212,77,hypothetical protein,permissive,head-tail connector,essential,7200.0,28.0,minimal gap (77 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",14502,14602,100,major tail protein,essential,hypothetical protein,permissive,9579.0,28.0,minimal gap (100 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",15555,15696,141,hypothetical protein,permissive,minor capsid protein,essential,10652.0,28.0,minimal gap (141 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
